text,sentiment
@angelemotion yayyy for new videos by amazing people,happiness
Surgery when I wake up,neutral
@ScylisSynaptic NO WAY MAN! i like 21 year olds,surprise
Just look @ this hellacious desk...good grief  http://short.to/cevd,hate
@ModelTheany  tee we beefin....what was u supposed to do before leavin????,surprise
No 10th  2 months=],happiness
have to go now by'all &lt;3 see ya later guys  xx,love
Still not feeling well,sadness
is going to watch the two davids. yey,happiness
@SwitchingGranny it is my honor,love
@Adrianna perhaps because it's 3 am Minday morning,neutral
@turhangross Wow! Some person u are!,surprise
@IvanaE grrrrrrrrrrrrrr ive barely read any of it,worry
"Photo: So I still havnï¿½t hooked up my editing comp  I know you guys miss my artwork, so Iï¿½ve decided to... http://tumblr.com/xeh1wetiq",love
"No school today - Not because of &quot;H1N1&quot;, but because a natural gas line broke on the interstate. RIDICULOUSNESS.",relief
@PhreshlyPhaded Oh wow  Thanks for the info.,happiness
@iiacovou  hiya!  did you get a picture of your converse?? GET YOUR CONVERSE OUT!,fun
Have a fantastic opening flower drummers!! From the ALL Asian cast and crew,love
when da heck will the garage man get here I ask you.. WHEN..,surprise
Hate be late,worry
"@MichaelHyatt wow, goin to Ethiopia? Biz? Holiday? Some other mission? Very keen to go there",neutral
@Beautiful515  thats awesome!,surprise
ok... finished all the Mikados  Should shut up now! lol,fun
@niftybitch time to leave a passive agressive note to the owners.  It's not the dog's fault... it's their shitty owners,worry
@kakrisch im jealous.  im slaving away at the store and youre chilling on the boat.,worry
Mariana ~ Photography by Cassone's May 2009 Feature http://bit.ly/E2bjm  - Thanks so much,happiness
"Rain finally arriving, drat. Guess this means we'll have to picnic in the living room instead of at WolfTrap tonite.",sadness
I really want to go to milwaukee but my sis doesn't want to  well she won't tell me,worry
Nothing 2 do 2nte  Boooooooo! I'm totally bored!,sadness
going to second morning of the day... just sleeping for 3-4 hours,neutral
crying so hard.......,sadness
Elena left this morning. Nine months spent living with her and now it'll probably be about 2 years till I see her again. Hmph.,sadness
I'm going to miss my iMac so much over the next month.,worry
eh...but I'll be picking cotton soon....need to suppliment my income,neutral
@Saresa And I feel your pain.,sadness
Awwww poor biggie...he puked on me in the car. Even though I had the air conditioning on FULL blast...I think it was the heat  He' ok now,worry
"@Dolcetk You too, my friend",neutral
cleaning time,neutral
Got the BrainBone daily question wrong!  - http://bit.ly/11dd2T,sadness
@marginatasnaily the wives aunts 40th,surprise
@lilmarshmellow 1 pm...,neutral
Great day training and having fun,fun
@sevinnyne6126 Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you a good flight &lt;3,love
Lula is not feeling well.  http://tinyurl.com/m8kcsq,sadness
@stormyamorette just one of those days where loneliness creeps up on you slaps you in the face.,sadness
Goooood beer tiiiimes,happiness
@priyaflorence I'll say  Even I don't do Dominos anymore - I prefer Pizza Hut's crunchy fresh veggie pizzas,neutral
"@robbymacbeath safari 4 always works fine here, had no problems at all.. You need to love it Robby",neutral
ninja sushi for lunch but dominicks was out of sour gummy worms,neutral
"Can't sleep, just laying here in the dark",empty
@brendaelizabeth yeah... I suppose,neutral
@bluevolvic  awesome   I'll have to keep a look out for it!,happiness
"Off to Saigon in the morning, n Hanoi from there.....",neutral
"one of my favorite, most relaxing songs to wake up to: http://tinyurl.com/c8fr3e Good morning.",happiness
@BonesNeko_UK That sucks! I had my exams be4 half term so It's all good. Although they were major subjects now I have languages and stuff,neutral
@dcal44 Been meaning to email you for months. Your pre-reunion party must be coming up soon. Really wish I could be there. &gt;140 char soon,sadness
Working during graduation. What a shame.,sadness
horseback riding,neutral
http://twitpic.com/4w855 Operation Happy Mom a success!,happiness
On a brighter note.. still at work at 6:15 on Friday working on other peoples problems...  oh man. I'm SO eating pizza tonight. hoorah!,sadness
@brb022 i would prefer 1 more monday,neutral
@MariSmith last week @crozfromoz and I interviewed @waynemansfield and we told him you are the FB queen! Glad to see you both connected,surprise
@XO_SUFI_XO yeah and when you are not working at paying jobs(volunteer/intern) the $ tends to disappear rather quickly...gotta slow down,worry
My phone is so stubborn!! You'd think it had my genes or something!!,sadness
"@aneffie53  thx, I was aware,  2 day festival -multi bands - but GA I can't do any more.  Must wait for a sit down concert",worry
NITE PEOPLES!!!!!,happiness
just got home and my kitty was by my door waiting for me,love
@hiimlianaa haha yea &quot;help&quot; (technically itz called cheating but my teacher helps us anyways so im not cheating),fun
I can't comment directly to someone...... and I'm here all alone,sadness
awww i've lost a follower i fail,worry
"@DJGigiDred not fare lady, no body naps while I am at work",sadness
"@HimOverThere gosh, poor thing! Get well soon, leg.  xx",worry
rec game....trying not to cry...the pain is to much..i need him...can't lose him &lt;/3...my heart is breakingg,sadness
@RealLifeKaz we cant come toniiiite !! arggh i want to tho  have fun for uss. well def see u 2morrow nite tho!,sadness
UGH! I have GOT TO STOP biting my nails  grrrrr,worry
I Love the lady from the Progressive commercials she's so funny,love
has bought more holiday clothes,neutral
@sharonhayes: &quot;Congrats my friend on ruling Canada @iamkhayyam *hugs&amp;gropes*&quot; Just for today I'm #1  ? http://blip.fm/~5z3oi,love
sold out,neutral
"Had a nice visit last night from a boy with voracious stubble, does anyone know what to do about a raw chin? haha",love
"@ngeow Yeah, planning to do that actually. Got a Kinokuniya discount card, so I'm going to splurge.  Just worried about being overwhelmed.",fun
"Texas Chainsaw Massacre: The Next Generation. Tis nothing, but pure insanity. Can I have the title of Queen of watching bad horror films?",worry
